GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime
Shot Chart Detail,22200209,411,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,6,27,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-134,131,1,1,20221115,POR,SAS,1970,,,,
Shot Chart Detail,22200209,449,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,3,11,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-113,271,1,1,20221115,POR,SAS,1970,,,,
Shot Chart Detail,22200209,571,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,7,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,1,20221115,POR,SAS,1970,,,,
Shot Chart Detail,22200209,627,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,32,126,297,1,1,20221115,POR,SAS,1970,,,,
Shot Chart Detail,22200221,54,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,7,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,1,20221117,POR,BKN,1970,,,,
Shot Chart Detail,22200221,92,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,5,11,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,206,154,1,1,20221117,POR,BKN,1970,,,,
Shot Chart Detail,22200221,226,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,7,39,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-232,92,1,1,20221117,POR,BKN,1970,,,,
Shot Chart Detail,22200221,316,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,53,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,113,238,1,1,20221117,POR,BKN,1970,,,,
Shot Chart Detail,22200221,332,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20221117,POR,BKN,1970,,,,
Shot Chart Detail,22200221,411,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,6,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,16,1,1,20221117,POR,BKN,1970,,,,
